source,target,year,type,visitors
root.Africa,root.Australia,2000,Arrival,94640
root.Africa,root.Australia,2001,Arrival,98080
root.Africa,root.Australia,2002,Arrival,93050
root.Africa,root.Australia,2003,Arrival,99870
root.Africa,root.Australia,2004,Arrival,99060
root.Africa,root.Australia,2005,Arrival,104180
root.Africa,root.Australia,2006,Arrival,114060
root.Africa,root.Australia,2007,Arrival,121330
root.Africa,root.Australia,2008,Arrival,137060
root.Africa,root.Australia,2009,Arrival,129740
root.Africa,root.Australia,2010,Arrival,130850
root.Africa,root.Australia,2011,Arrival,135180
root.Africa,root.Australia,2012,Arrival,134010
root.Africa,root.Australia,2013,Arrival,127740
root.Africa,root.Australia,2014,Arrival,123040
root.Africa,root.Australia,2015,Arrival,120960
root.Africa,root.Australia,2016,Arrival,124920
root.Africa,root.Australia,2017,Arrival,129170
root.Africa,root.Australia,2018,Arrival,140330
root.Africa,root.Australia,2019,Arrival,143770
root.Africa,root.Australia,2020,Arrival,36580
root.Africa,root.Australia,2021,Arrival,9560
root.Africa,root.Australia,2022,Arrival,92350
root.Africa,root.Australia,2023,Arrival,134930
root.Africa,root.Australia,2024,Arrival,138400
root.Africa,root.Australia,2025,Arrival,144550
root.Asia,root.Australia,2000,Arrival,2085030
root.Asia,root.Australia,2001,Arrival,2099190
root.Asia,root.Australia,2002,Arrival,2194260
root.Asia,root.Australia,2003,Arrival,2081540
root.Asia,root.Australia,2004,Arrival,2365940
root.Asia,root.Australia,2005,Arrival,2506810
root.Asia,root.Australia,2006,Arrival,2519630
root.Asia,root.Australia,2007,Arrival,2608520
root.Asia,root.Australia,2008,Arrival,2597960
root.Asia,root.Australia,2009,Arrival,2645460
root.Asia,root.Australia,2010,Arrival,2877990
root.Asia,root.Australia,2011,Arrival,2963840
root.Asia,root.Australia,2012,Arrival,3263430
root.Asia,root.Australia,2013,Arrival,3524870
root.Asia,root.Australia,2014,Arrival,3871260
root.Asia,root.Australia,2015,Arrival,4272980
root.Asia,root.Australia,2016,Arrival,4939100
root.Asia,root.Australia,2017,Arrival,5401170
root.Asia,root.Australia,2018,Arrival,5807960
root.Asia,root.Australia,2019,Arrival,6001280
root.Asia,root.Australia,2020,Arrival,1177850
root.Asia,root.Australia,2021,Arrival,162160
root.Asia,root.Australia,2022,Arrival,2196370
root.Asia,root.Australia,2023,Arrival,4487490
root.Asia,root.Australia,2024,Arrival,5505430
root.Asia,root.Australia,2025,Arrival,5935200
root.Europe,root.Australia,2000,Arrival,1614610
root.Europe,root.Australia,2001,Arrival,1607830
root.Europe,root.Australia,2002,Arrival,1578260
root.Europe,root.Australia,2003,Arrival,1589070
root.Europe,root.Australia,2004,Arrival,1642660
root.Europe,root.Australia,2005,Arrival,1740910
root.Europe,root.Australia,2006,Arrival,1789550
root.Europe,root.Australia,2007,Arrival,1807030
root.Europe,root.Australia,2008,Arrival,1863970
root.Europe,root.Australia,2009,Arrival,1851870
root.Europe,root.Australia,2010,Arrival,1871200
root.Europe,root.Australia,2011,Arrival,1856280
root.Europe,root.Australia,2012,Arrival,1903350
root.Europe,root.Australia,2013,Arrival,1999890
root.Europe,root.Australia,2014,Arrival,2029050
root.Europe,root.Australia,2015,Arrival,2080500
root.Europe,root.Australia,2016,Arrival,2181870
root.Europe,root.Australia,2017,Arrival,2249430
root.Europe,root.Australia,2018,Arrival,2273880
root.Europe,root.Australia,2019,Arrival,2238950
root.Europe,root.Australia,2020,Arrival,569670
root.Europe,root.Australia,2021,Arrival,56700
root.Europe,root.Australia,2022,Arrival,1089120
root.Europe,root.Australia,2023,Arrival,1719700
root.Europe,root.Australia,2024,Arrival,1886370
root.Europe,root.Australia,2025,Arrival,2118260
root.North America,root.Australia,2000,Arrival,606550
root.North America,root.Australia,2001,Arrival,578310
root.North America,root.Australia,2002,Arrival,559990
root.North America,root.Australia,2003,Arrival,547590
root.North America,root.Australia,2004,Arrival,571460
root.North America,root.Australia,2005,Arrival,594070
root.North America,root.Australia,2006,Arrival,615650
root.North America,root.Australia,2007,Arrival,628530
root.North America,root.Australia,2008,Arrival,646620
root.North America,root.Australia,2009,Arrival,667150
root.North America,root.Australia,2010,Arrival,668800
root.North America,root.Australia,2011,Arrival,658670
root.North America,root.Australia,2012,Arrival,688080
root.North America,root.Australia,2013,Arrival,708690
root.North America,root.Australia,2014,Arrival,745760
root.North America,root.Australia,2015,Arrival,785930
root.North America,root.Australia,2016,Arrival,870090
root.North America,root.Australia,2017,Arrival,933760
root.North America,root.Australia,2018,Arrival,1017770
root.North America,root.Australia,2019,Arrival,1077300
root.North America,root.Australia,2020,Arrival,260670
root.North America,root.Australia,2021,Arrival,19720
root.North America,root.Australia,2022,Arrival,426550
root.North America,root.Australia,2023,Arrival,829570
root.North America,root.Australia,2024,Arrival,920010
root.North America,root.Australia,2025,Arrival,964400
root.Oceania,root.Australia,2000,Arrival,4171960
root.Oceania,root.Australia,2001,Arrival,4193530
root.Oceania,root.Australia,2002,Arrival,4110260
root.Oceania,root.Australia,2003,Arrival,4092680
root.Oceania,root.Australia,2004,Arrival,5169650
root.Oceania,root.Australia,2005,Arrival,5654750
root.Oceania,root.Australia,2006,Arrival,5797570
root.Oceania,root.Australia,2007,Arrival,6364390
root.Oceania,root.Australia,2008,Arrival,6770790
root.Oceania,root.Australia,2009,Arrival,7093700
root.Oceania,root.Australia,2010,Arrival,7912560
root.Oceania,root.Australia,2011,Arrival,8593880
root.Oceania,root.Australia,2012,Arrival,8991970
root.Oceania,root.Australia,2013,Arrival,9434630
root.Oceania,root.Australia,2014,Arrival,9847640
root.Oceania,root.Australia,2015,Arrival,10158340
root.Oceania,root.Australia,2016,Arrival,10693200
root.Oceania,root.Australia,2017,Arrival,11212260
root.Oceania,root.Australia,2018,Arrival,11676340
root.Oceania,root.Australia,2019,Arrival,11925670
root.Oceania,root.Australia,2020,Arrival,2846260
root.Oceania,root.Australia,2021,Arrival,512620
root.Oceania,root.Australia,2022,Arrival,5775560
root.Oceania,root.Australia,2023,Arrival,10846870
root.Oceania,root.Australia,2024,Arrival,12296000
root.Oceania,root.Australia,2025,Arrival,13236000
root.South America,root.Australia,2000,Arrival,36930
root.South America,root.Australia,2001,Arrival,32060
root.South America,root.Australia,2002,Arrival,26540
root.South America,root.Australia,2003,Arrival,24850
root.South America,root.Australia,2004,Arrival,28010
root.South America,root.Australia,2005,Arrival,33840
root.South America,root.Australia,2006,Arrival,43010
root.South America,root.Australia,2007,Arrival,53010
root.South America,root.Australia,2008,Arrival,66190
root.South America,root.Australia,2009,Arrival,70650
root.South America,root.Australia,2010,Arrival,71490
root.South America,root.Australia,2011,Arrival,77280
root.South America,root.Australia,2012,Arrival,92300
root.South America,root.Australia,2013,Arrival,103990
root.South America,root.Australia,2014,Arrival,109510
root.South America,root.Australia,2015,Arrival,114750
root.South America,root.Australia,2016,Arrival,132930
root.South America,root.Australia,2017,Arrival,154490
root.South America,root.Australia,2018,Arrival,177710
root.South America,root.Australia,2019,Arrival,182220
root.South America,root.Australia,2020,Arrival,48020
root.South America,root.Australia,2021,Arrival,3250
root.South America,root.Australia,2022,Arrival,110830
root.South America,root.Australia,2023,Arrival,195320
root.South America,root.Australia,2024,Arrival,180520
root.South America,root.Australia,2025,Arrival,188880
root.Australia,root.Africa,2000,Departure,92360
root.Australia,root.Africa,2001,Departure,92810
root.Australia,root.Africa,2002,Departure,86210
root.Australia,root.Africa,2003,Departure,86660
root.Australia,root.Africa,2004,Departure,89780
root.Australia,root.Africa,2005,Departure,94380
root.Australia,root.Africa,2006,Departure,99790
root.Australia,root.Africa,2007,Departure,111170
root.Australia,root.Africa,2008,Departure,125240
root.Australia,root.Africa,2009,Departure,132650
root.Australia,root.Africa,2010,Departure,136270
root.Australia,root.Africa,2011,Departure,142060
root.Australia,root.Africa,2012,Departure,139460
root.Australia,root.Africa,2013,Departure,137920
root.Australia,root.Africa,2014,Departure,135490
root.Australia,root.Africa,2015,Departure,133420
root.Australia,root.Africa,2016,Departure,133660
root.Australia,root.Africa,2017,Departure,134370
root.Australia,root.Africa,2018,Departure,141740
root.Australia,root.Africa,2019,Departure,144300
root.Australia,root.Africa,2020,Departure,42980
root.Australia,root.Africa,2021,Departure,8690
root.Australia,root.Africa,2022,Departure,65310
root.Australia,root.Africa,2023,Departure,109770
root.Australia,root.Africa,2024,Departure,120190
root.Australia,root.Africa,2025,Departure,132200
root.Australia,root.Asia,2000,Departure,2605610
root.Australia,root.Asia,2001,Departure,2558280
root.Australia,root.Asia,2002,Departure,2626710
root.Australia,root.Asia,2003,Departure,2493140
root.Australia,root.Asia,2004,Departure,2758920
root.Australia,root.Asia,2005,Departure,2893020
root.Australia,root.Asia,2006,Departure,2884020
root.Australia,root.Asia,2007,Departure,2919440
root.Australia,root.Asia,2008,Departure,2840920
root.Australia,root.Asia,2009,Departure,2893480
root.Australia,root.Asia,2010,Departure,3174540
root.Australia,root.Asia,2011,Departure,3208960
root.Australia,root.Asia,2012,Departure,3444130
root.Australia,root.Asia,2013,Departure,3702320
root.Australia,root.Asia,2014,Departure,4062550
root.Australia,root.Asia,2015,Departure,4445360
root.Australia,root.Asia,2016,Departure,5107020
root.Australia,root.Asia,2017,Departure,5543260
root.Australia,root.Asia,2018,Departure,5911210
root.Australia,root.Asia,2019,Departure,6131400
root.Australia,root.Asia,2020,Departure,1346510
root.Australia,root.Asia,2021,Departure,164250
root.Australia,root.Asia,2022,Departure,1625720
root.Australia,root.Asia,2023,Departure,4112000
root.Australia,root.Asia,2024,Departure,5260360
root.Australia,root.Asia,2025,Departure,5756670
root.Australia,root.Europe,2000,Departure,1488460
root.Australia,root.Europe,2001,Departure,1515390
root.Australia,root.Europe,2002,Departure,1467470
root.Australia,root.Europe,2003,Departure,1474500
root.Australia,root.Europe,2004,Departure,1525590
root.Australia,root.Europe,2005,Departure,1598860
root.Australia,root.Europe,2006,Departure,1603770
root.Australia,root.Europe,2007,Departure,1664800
root.Australia,root.Europe,2008,Departure,1656960
root.Australia,root.Europe,2009,Departure,1665140
root.Australia,root.Europe,2010,Departure,1691550
root.Australia,root.Europe,2011,Departure,1684830
root.Australia,root.Europe,2012,Departure,1697620
root.Australia,root.Europe,2013,Departure,1798970
root.Australia,root.Europe,2014,Departure,1854940
root.Australia,root.Europe,2015,Departure,1886750
root.Australia,root.Europe,2016,Departure,2006600
root.Australia,root.Europe,2017,Departure,2102020
root.Australia,root.Europe,2018,Departure,2159700
root.Australia,root.Europe,2019,Departure,2141430
root.Australia,root.Europe,2020,Departure,707340
root.Australia,root.Europe,2021,Departure,62680
root.Australia,root.Europe,2022,Departure,894650
root.Australia,root.Europe,2023,Departure,1685310
root.Australia,root.Europe,2024,Departure,1891750
root.Australia,root.Europe,2025,Departure,2050680
root.Australia,root.North America,2000,Departure,183850
root.Australia,root.North America,2001,Departure,196580
root.Australia,root.North America,2002,Departure,197220
root.Australia,root.North America,2003,Departure,191840
root.Australia,root.North America,2004,Departure,221710
root.Australia,root.North America,2005,Departure,247810
root.Australia,root.North America,2006,Departure,277910
root.Australia,root.North America,2007,Departure,299820
root.Australia,root.North America,2008,Departure,350890
root.Australia,root.North America,2009,Departure,382150
root.Australia,root.North America,2010,Departure,409260
root.Australia,root.North America,2011,Departure,422930
root.Australia,root.North America,2012,Departure,458560
root.Australia,root.North America,2013,Departure,478590
root.Australia,root.North America,2014,Departure,509920
root.Australia,root.North America,2015,Departure,560300
root.Australia,root.North America,2016,Departure,619240
root.Australia,root.North America,2017,Departure,700690
root.Australia,root.North America,2018,Departure,801700
root.Australia,root.North America,2019,Departure,871580
root.Australia,root.North America,2020,Departure,266270
root.Australia,root.North America,2021,Departure,53550
root.Australia,root.North America,2022,Departure,527420
root.Australia,root.North America,2023,Departure,835220
root.Australia,root.North America,2024,Departure,942210
root.Australia,root.North America,2025,Departure,998300
root.Australia,root.Oceania,2000,Departure,4178590
root.Australia,root.Oceania,2001,Departure,4154470
root.Australia,root.Oceania,2002,Departure,4152300
root.Australia,root.Oceania,2003,Departure,4111850
root.Australia,root.Oceania,2004,Departure,5228340
root.Australia,root.Oceania,2005,Departure,5654820
root.Australia,root.Oceania,2006,Departure,5817150
root.Australia,root.Oceania,2007,Departure,6406080
root.Australia,root.Oceania,2008,Departure,6740800
root.Australia,root.Oceania,2009,Departure,7114080
root.Australia,root.Oceania,2010,Departure,7949390
root.Australia,root.Oceania,2011,Departure,8579450
root.Australia,root.Oceania,2012,Departure,8976790
root.Australia,root.Oceania,2013,Departure,9475140
root.Australia,root.Oceania,2014,Departure,9884450
root.Australia,root.Oceania,2015,Departure,10220230
root.Australia,root.Oceania,2016,Departure,10732720
root.Australia,root.Oceania,2017,Departure,11250120
root.Australia,root.Oceania,2018,Departure,11680570
root.Australia,root.Oceania,2019,Departure,11891420
root.Australia,root.Oceania,2020,Departure,2112930
root.Australia,root.Oceania,2021,Departure,584670
root.Australia,root.Oceania,2022,Departure,6298180
root.Australia,root.Oceania,2023,Departure,10884680
root.Australia,root.Oceania,2024,Departure,12324230
root.Australia,root.Oceania,2025,Departure,13216240
root.Australia,root.South America,2000,Departure,33990
root.Australia,root.South America,2001,Departure,31780
root.Australia,root.South America,2002,Departure,26670
root.Australia,root.South America,2003,Departure,25550
root.Australia,root.South America,2004,Departure,29080
root.Australia,root.South America,2005,Departure,34340
root.Australia,root.South America,2006,Departure,41690
root.Australia,root.South America,2007,Departure,49830
root.Australia,root.South America,2008,Departure,61030
root.Australia,root.South America,2009,Departure,69300
root.Australia,root.South America,2010,Departure,71890
root.Australia,root.South America,2011,Departure,78170
root.Australia,root.South America,2012,Departure,89540
root.Australia,root.South America,2013,Departure,97620
root.Australia,root.South America,2014,Departure,108230
root.Australia,root.South America,2015,Departure,111670
root.Australia,root.South America,2016,Departure,124680
root.Australia,root.South America,2017,Departure,146100
root.Australia,root.South America,2018,Departure,172990
root.Australia,root.South America,2019,Departure,173000
root.Australia,root.South America,2020,Departure,55970
root.Australia,root.South America,2021,Departure,9340
root.Australia,root.South America,2022,Departure,76530
root.Australia,root.South America,2023,Departure,145540
root.Australia,root.South America,2024,Departure,171800
root.Australia,root.South America,2025,Departure,184430
